IDENTIFIER	GSM19023	GSM19024	GSM19025	GSM19026
SMPD1	14662.4	11649.9	32506.3	30182
SERPINB1A	92.7	148.7	106.3	155.2
SNRPA	3015.6	2209.8	2208.9	2203.5
2210010C04RIK	1411.7	1315.5	1377.6	1369.6
2210010C04RIK	39.6	101.1	121.9	65.6
TFF3	73.7	389.7	98.4	117.4
KRT13	4402.5	3920.6	1231.6	1236.6
CXCL12	2619	2706.4	5342.7	5335.3
KIFAP3	1003.7	773.2	1026.1	927
QRICH1	993.4	1490.9	613.5	1124.1
2810417H13RIK	4454.4	5619.6	727.5	633.1
DIABLO	101	70.9	119.7	98.7
NID1	163.5	279.9	198.6	302.2
GNB5	513.4	468.2	561.9	430
ITGB1	27472.2	29011.5	36767.6	39233.1
ITGB1	3678	4793.7	6150.7	5115.2
PA2G4	727.9	774.9	670.7	538
CHRAC1	2853.2	2632.8	3344.4	3672
CRABP2	103.8	152.9	17.8	22.6
CDK1	3013.3	3624.5	523.8	321.6
JUN	466.2	579.3	1644.8	1431.3
SCG5	181.2	141	99.5	97.1
FYN	2595.7	2848.6	1565.9	1319.3
ENG	9284.5	8203.3	16609	13581.8
LAMP2	1187.7	1430.6	1208.2	869.3
RBM14	1369.9	1733.6	645.9	581.2
PCSK1N	32.1	39.2	31	42.5
FAU	165.1	173.6	105.9	312.1
DGCR2	1437.2	1135.9	1500.9	1276.1
ZYX	60.8	42.8	163.5	166.4
NCL	16050.5	15418.4	7997.1	8707
ACO1	57.2	257.2	59.6	145.8
CTCF	3394.7	4041.4	1764.9	1607.5
MCM6	81	33.5	80.2	81.4
INS2	13.7	17.4	31	21.8
SERINC3	8937.1	11521.1	12918.6	14973.1
NCAM1	139.8	23.3	24	123.3
NCAM1	510.6	407.9	468.5	363.6
TAPBP	5171.9	4566	3745.2	3276
DDR1	1492.1	1526.2	2063.4	2314.2
MCM5	6974.4	4389.1	607.5	743.3
RPL41	110252	91666	95833.1	104337
PSMC3	1447.4	1564.6	1683.3	1364.7
KDM5D	28.7	10.5	38.6	21.3
INHBA	234.1	172	134.9	387.3
CDKN1B	909.6	681.1	727.2	593.7
ST3GAL2	43.3	39.1	48	69.5
HIST1H1T	133.9	182.2	253.3	217
GMCL1	56.4	179.2	151.6	41.6
HTR7	520.1	462.9	398.3	565.3
SOX10	126.2	66.8	111.4	120
ZIC4	28.9	16.7	44.2	82.2
COL4A3	26.7	9.4	58	27.6
MST1	196.4	43.6	277.9	110.6
IGBP1B	37.5	29.5	41.3	29.5
EFNA3	2231.4	2408.2	2647.8	2363.2
HAUS6	562.6	622.6	133.3	117
CBL	352.8	579.1	202.7	185.1
SH2D2A	2667.7	2372.6	249.1	332.6
CD59B	666.4	573	948.9	851.5
DFFB	117.9	113.4	163.4	49.2
IGLV1	1569.2	994	767.3	1182.2
TEX2	369.5	599.1	519.3	385.4
WDR26	1444.6	2109.6	1022.3	961.4
PSPN	748.4	578.8	1137.2	692.5
IGKV12-46	713.6	622.4	219	319.8
CYBB	184.1	484.3	286.8	316.6
ESRRB	59.7	90	80.3	126.2
MAFF	104.4	24.7	102.9	119.4
H2-M10.1	199.8	182.5	48.5	231.8
100304_AT	468.9	577.5	466.2	334.9
H2-M10.1	180.8	694.5	133.9	719.9
ARL14EP	201.1	355.7	248.9	233.2
NFIX	585.6	785.3	1147.7	1234.3
COL8A1	620	475.6	974.8	1203.3
MET	33.2	25.3	36.9	40.7
EAR1	114.7	49.5	20.3	135.9
ITGA8	95.1	136.7	90.9	34
ITGA8	40.7	23	36.2	46.9
ATP8A1	189.3	52	240.5	292.5
PPEF2	35	32.2	29	70.6
DNAJB13	817.2	632.6	526.1	739.3
IL10	15.6	148.3	151.8	45.7
KPNA4	157.8	220	184.8	307.2
2210418O10RIK	145.3	164.9	47	134.3
U48716	1140.9	942.6	594.1	547.5
AMD2	5654.5	4917.6	6865.1	5953.7
AMD2	898.5	1146.5	1191.7	1215.4
GP49A	291.6	430.2	278.6	365.9
KLRA8	126.9	114.3	103.7	159.2
LTA	628	588.7	686.8	872.6
GM15448	689.7	844.9	684.3	741.4
SERPINA1C	448.3	424.5	75.9	273.2
LOC100504815	4.8	7.8	14.9	4.6
PRDX2	21732.4	26059.6	33768.3	35312.9
PRDX6B	5211.8	4559.5	4560.2	4392.3
SAA2	55	180.1	160.2	67.1
EGFBP2	65.2	34.8	22.7	34.3
ATP7B	397.1	133.2	125.5	167.2
BGLAP2	929.5	683.2	724.4	604.3
CACNA1E	39.5	20.5	48	45.8
CACNA1E	98.6	103.6	84.2	307.2
SLC10A1	83.6	191.6	48.7	152.6
SLC10A1	14	66.7	9.7	9.6
SLC10A1	91	46.1	97.8	163.2
TUBA1A	24142.2	19018.3	20946.4	18172.3
TUBA1A	25289.7	19530.7	12059.8	13628.8
BC026585	1318.2	2602.9	1619.4	1929
VAMP8	8089.5	6750.7	7411.3	4842.6
FGF9	63.3	97.4	148.9	250.4
D17892	50	49.2	57.7	52.9
100348_AT	335.3	286.4	148.5	17.3
RRM2	547.5	471.8	44.6	170.6
100350_AT	13.9	20.2	11.9	19.5
DEFA2	37.6	42.1	62.7	121.9
HSPA4	128.8	341.6	291.5	307.1
HSPA4	1955.9	2689.4	1823.3	1851.6
TBX15	9	7.9	5.3	5.8
TBX15	148.2	149.4	53.9	63.4
GPRASP1	20.7	36.1	23.3	27
GPRASP1	579.2	628.6	440.7	738.4
TCP10C	87.9	362.9	424.5	430.4
TCP10C	39.1	35.9	175.6	36.6
LOC100046359	2281.8	2190.4	918.9	1031.3
M30207	91	265.2	204	194.4
IGH-VJ558	1882.3	1804	81.2	486.8
SYT9	8.8	10.4	9.6	12.1
SYT6	152	53.8	49.9	59.7
SYT7	60	17.5	110.5	141.6
CASP9	376	530.1	395.8	514.6
CASP9	569.2	716.7	351.2	448.5
CASP9	222.7	91	129.4	221.4
ST6GALNAC6	512.8	484.3	914.3	794.6
SLC12A5	249.6	314.5	299.4	159
HNRNPA1	390.1	524	280.5	410.6
GABRG1	18.6	15.1	27.5	27.8
SLC39A1	177.1	96.5	108.1	162.8
DMRT1	30.4	17.8	35.7	25.7
LOC544903	85.9	39	13	39.5
LOC544903	1176.2	1091.4	33.2	320
LOC100505002	360.2	322	57.7	53.7
AI467488	53.5	276.2	46.9	51.2
AI837905	52894.9	45322.2	36244.8	28692.4
H3F3A	14155.6	19127.4	10960.9	10989.7
ACTA1	32668.5	27860.6	24964.9	20073.5
ST6GALNAC1	77.1	159.7	41.2	126.4
RNF112	48.3	29.5	31.6	86.3
HSF4	99.5	41.9	59.2	61.4
GLRA1	500.4	554	135.8	532.9
GNAZ	264.8	207.6	115.3	122.6
KLRA18	55.2	12.6	5.1	5
GNAO1	87.6	114.7	50	28.3
COLQ	430.7	882.2	553.9	496.3
BFSP1	53.8	66.8	31.8	55.1
MAPK8	49.1	103.3	80.5	111.4
APLN	681.3	767.3	884.8	614.5
VIP	205.8	22	209.2	144
PODXL	44.2	49	39.9	69
GLI2	36.7	69.9	28.3	105.2
TYMS-PS	436.9	280.7	65.2	77.6
TYROBP	2221.9	1935.9	1426.3	1453.8
KIF3A	202.8	202	242.6	331.8
EMC2	1454.6	1916.3	2497.1	2366.4
SON	1366.6	1404.3	1444.4	1737.6
ZP3R	79.9	72	68.8	149.2
MYL7	25793.3	22895.5	45271.7	41955.1
IFT88	3447.1	4175.7	3677.7	5143.5
CBX3	1161.1	1052.1	532.9	345.5
PTPN5	128.9	125.9	268	26.8
GAL	443.1	442.7	710.2	564
POLE3	817.1	629.7	426.2	271.5
CDH3	940.4	598	453.9	656.4
LARP7	1199.6	851.7	877	643.9
AEBP1	4.3	8.6	3.9	4.3
AEBP1	678.9	551.3	1085.2	1074.6
YLPM1	2142.6	1750.9	1729.6	1502.9
MPO	326	153.6	44	134.7
MPO	125.4	137.6	336.1	279.1
MELK	13.5	11.3	6.9	19
SLC7A6	213	235.7	132.4	42.7
GNG2	283.7	236.1	218.4	181.6
FLG	235.7	308.8	264	195
KRT4	9522.8	7843.4	4156.7	3721.5
STAT5A	3635.2	3987.9	3255.4	3441.2
STAT5A	2475.7	2571	1883.3	1692.1
ERCC1	652.1	480.7	879.9	875.8
SYK	2047.9	2197.5	2603.5	3057.6
SYK	19.9	23.4	37.2	27.1
PTPRO	324.3	318.7	436.6	344.3
LAMC2	1015.3	1298.8	822.4	1055.1
PPOX	561.2	488.5	591.2	622.1
LEPR	111.2	85.4	26.6	129.5
LEPR	170.4	181.6	158.6	163.2
MDFI	54.6	42.1	78.1	97.6
MDFI	373.2	489.2	515.5	868.7
MDFI	35.6	31.8	106	47.3
LPAR1	390.3	434.3	723.8	496.7
ORM1	732.6	575.9	270.5	193.4
ORM2	870.4	712.1	593.5	196.9
GPR19	172.9	378	237.1	136
ANK1	1943.1	1731.9	2774	2842.3
ANK1	4695.5	4166.1	6146.2	6457.9
ANK1	1493	1563	5796.3	4998.6
TBRG4	863.4	1173.5	1226.9	1697.3
BCAT2	2704.3	2847.5	2733.5	2372.4
CDK5	1314.6	1182.6	1589.5	1675.3
SPRR1B	496.2	562.4	40.9	161.1
SPRR1B	48424.1	53751.2	86186.9	91506.1
HYAL2	1271	1400	2195.5	2198.5
ACVRL1	744.4	743.6	1001.1	970.2
ACVRL1	633.2	676.2	1196	1232.6
ACVRL1	1260.9	1317	2169.5	2444.9
HSF1	462.8	596.3	696.9	1067.9
KLF1	559.6	234.8	446.5	456.2
CAMK2B	516.6	410.9	431.2	605
PTPRU	815	761.1	1073.5	775.6
SNAP91	182.5	309.1	184.8	226.2
GLG1	2410.3	2449.2	4141.5	4054
NAPB	223.8	164	178.4	70.4
RAD50	1513.8	1331.5	928	784.7
CTR9	980.1	1080	524.3	602.3
POLR2J	3713	4237.3	3568.3	3794.8
ARF6	293	556.1	184.7	179.8
CSN1S2A	25.3	18.3	14.4	29.9
3110043O21RIK	871.5	865.8	1515.7	1360.9
GM1673	720.8	647.5	788.3	744.1
GM1673	2539.6	2300.7	2824.5	3126.5
LYL1	263	209	88.7	47.6
LYL1	1325.9	1053.3	1314.7	1122.9
NFYA	1066.3	912.5	740.7	623.3
MAPK10	569.8	753.9	1140.3	846.9
LEPREL4	499.4	480.3	734.5	604.9
ENAH	1950	1918.4	3402.5	3447.3
ARRB1	547.8	513.5	647.7	704.4
ST8SIA2	337.2	519.6	552.7	961.8
TRIM25	2984	2283.6	1735	1435.3
IBSP	7.2	42.5	10.5	20.1
TMEM45A	375.6	510.2	721.4	647.6
DNMT3A	511.5	534.9	173.7	338.6
COL11A1	240.1	219.8	199.7	193.8
ZFP598	1993.6	1660	2394.4	2182.8
IFNAR1	1512.7	1227.5	708	866.6
MMP13	148.9	75.3	71.6	64.3
EZH1	1335.4	1277.6	1746.4	1854.5
GBA	1529.6	1532.1	1107.5	1189.5
PDE7A	594.6	484.9	714.4	676
SLC16A2	400.8	422.5	649.9	575.5
AP2A2	3451.8	2659.3	2743.9	3298.6
HSD11B2	52.7	38.4	50.4	62.9
FGF1	1048.9	742.5	1144.4	1292.8
DVL2	454.2	598.9	530.6	623.9
PAM	4490.4	4618.2	16589.9	15107.6
STX3	125.2	27.7	68.6	62.3
STX3	29.8	204.1	36.8	218.2
STX3	261.7	345.8	306.9	429.9
FADD	634.5	649.3	658.9	762.3
ATP4B	33.4	35.5	43.1	34.4
PDE1C	19.7	85.8	46.7	30
RIT2	44.5	63.6	100.9	121.2
NOV	380.6	414.8	628.8	419.6
MFNG	1018.3	1015	667	871.2
RNF19A	2012.2	2091.1	1467	1590.6
SNCB	574.2	499.9	501.7	772.1
HMHA1	7017	6316.4	1647.3	1375.8
UCHL5	1086.4	1612.4	481.5	721.6
ASAP1	1322.6	983.8	837.9	1060.6
GNA13	2939.3	3234.7	1652.6	1767.7
FURIN	2859.6	3168.3	4777.9	4579
CHKA	477.9	470.2	492.3	351.6
ARF2	296.3	238.1	196.4	217.2
OVGP1	317.6	400.6	315.8	420.7
WBP5	4035.8	3284.8	2936.6	2428.8
WBP5	585.8	663.6	507.2	741.5
TRMT2A	1392.2	1475.6	1647.2	1623.9
ADAM3	66	51.5	34	31.4
COA3	6499.8	5836.6	6271.3	5710.3
UBE2H	1941.7	2417.1	2057.2	2274.3
UBE2H	1543.5	1563.5	1420.8	874.8
RALGDS	1461.6	1634.5	1785.5	1921.5
CREM	404.5	503.7	632.3	569.6
TSNAX	3543.2	3225.3	3417.3	3715.7
EIF4G2	2019.1	2435.6	3860.2	3497.8
MOBP	14.9	5.1	13.3	17.9
COX14	107	15.6	41.9	80.7
SOD1	11624.9	10968.9	10842.7	11209.5
ACOT7	2219.9	2174.9	1774.6	1638.9
LTA4H	9566	8575	4092.9	3888.1
MEP1A	24.3	152.5	17.6	47.5
BRD7	2957	2931.9	3238.3	2995.1
BRD7	588.5	493.6	368.3	303.6
RBM4	204.2	35.3	79.5	202.9
RBM4B	1665.2	1421	1322.1	1466.7
PEA15A	1506	2309.2	2293.3	2591.6
HBA-X	256.9	277.9	297.6	167.6
COX6C	43219.5	42171.1	65784.4	52973.2
GM6265	117.2	19.5	73.3	38.8
IFNGR1	1494.1	2029.7	1021.8	1269.5
TRIM27	3488.8	4278.1	2341.8	3169.1
PDLIM1	3045.5	2543.1	3008.8	3704.2
RCAN1	1635.1	1716.1	3231.9	3008.8
EIF4B	118.6	10.3	12.8	8.6
EIF4B	5113.6	4093	3551.7	3762.4
EIF4B	15.6	23.3	12.9	21.3
DHX16	1204.7	1158.8	1084	620.6
PAFAH1B1	3879.7	3171.9	7586.8	5847.8
IQGAP1	3370.6	4094.2	1336.7	1444.1
RANGRF	2748.3	2562.1	2763.9	3841.2
DDT	3939.9	3478.5	4833.8	3763.9
GNPDA1	756.4	653.9	744.1	936.7
TMEM119	8345.6	6681.4	14068.5	12392.9
FABP4	1395.4	1520.1	2481.9	1594.2
ABCE1	3287.8	2852.3	2335.6	2643.5
ANXA2	19127.8	14392.8	6735.9	6283.1
NUB1	1851.1	1901.2	1906	1821.9
LAPTM4B	2998.4	3419.4	6506.7	6518.8
TM9SF2	1463.7	1898.6	2091.9	2534.4
GPI1	4376	3547.9	4975.5	4069.4
GPI1	54378	55437.9	58626.4	61849.5
NAA10	1607.7	1205.7	752.7	852.2
PAFAH1B3	1191.4	937.6	422.7	330.6
SNRPD1	725.9	712.6	349.6	471.7
IMPDH2	6811.9	5548.8	3090.4	2939.7
CLTA	4613.5	4606.5	3061.5	2889.6
CLTA	226.7	68.4	219.4	133.7
CSTB	21039.9	20564.4	5275.9	6556
SNX17	1100.2	1122.8	1230.2	801.5
LOC544903	2242.5	3857.2	838.1	991.3
ANXA4	1572.7	1293.2	966.8	1159.2
GM3258	199.8	25.5	36.2	194.1
CDIP1	159.9	292	115.6	322.8
CDIP1	778.1	837.3	624.8	932.6
PSME2	4853.4	4289.1	3917.7	3951.5
GM19617	265.9	308.8	24.7	195.9
GHITM	8617.3	8503.3	6114	5820.1
TNNT2	50759.4	50651.5	73898.6	81268.2
PIGQ	766.6	923.5	1553.5	1044.3
PTP4A2	7135.6	6579.2	9296.2	7252.3
SELENBP1	3199.4	2348	5623	6579.1
GYG	1452.6	1900.8	2581.1	2759.6
ATF4	2977.5	2750.4	3727.3	4005.1
CD24A	12310.7	11920	5167.4	4852.4
ITGB5	2765.6	2190.2	3640.4	3746.5
RPS15	26.7	16.1	16.5	67.8
DYNC1I2	1793.4	1931.4	1559.5	1262.2
TPM2	1753.2	1901.6	2663.8	3093.6
PRNP	11483.8	13275.7	25131.9	16473.5
PLD3	3035.3	2207.4	1653.1	1440.7
SPTLC1	2068.7	2498.9	1905.5	2318.3
CFB	145.9	178.4	41.3	133.1
CAPNS1	5466.8	4878.4	8060.4	10246.5
LYZ2	5738	6368.6	5174	5353.4
RRM1	2388.2	2651.7	610	710.7
FKBP8	6450.9	6296.8	5853.6	9338.1
MB	69881.2	64673.7	108632	96168.6
MB	89.1	12.2	146.1	174.2
CENPA	1162.1	1052.3	475.2	648.7
SLC25A5	90.2	61.7	63.9	110.5
SLC25A5	6086.2	7514.2	5570.4	4632.4
SLC25A5	1020	1084.1	959.2	947.4
HPD	176.3	207.2	127.2	256.8
RNH1	2240.1	1648.3	2371.9	2168.2
PRDX6	4593.6	5344.1	6685.9	6749.9
CLCA3	138.4	97.3	189.3	83.7
ODF2	97.7	108.4	94.4	87.3
NDUFC1	23954.8	22217.3	50507	41361.2
GSTM5	1696	1440.7	3067.3	2712
GSTM5	7499.8	7157.8	12210.7	12825.3
GSTM5	498	1497.8	240	1862.4
PRKAG1	1102.5	788.8	1407.5	1296.4
MARC2	4413.8	4399.7	3537.7	3847.9
RDH7	189.1	298.9	196.2	57.6
SAR1A	8380	9640.3	11091.1	15462.7
EIF4EBP1	2740	2244.5	4428.9	3848.6
L13839	36.6	35.6	10.3	89.8
SCN9A	6.4	74.5	13.6	7.8
IFNA11	69.5	27.6	29.3	79.4
MYO5A	2.8	4.3	36.9	8.6
KLRA5	135.4	174.1	99	133.9
KLRA6	33.4	200.3	44.2	90.5
GABRR1	28.1	55.4	66.1	21.2
SYNJ2	23.4	29	93.5	37.2
VMN2R-PS159	27.4	49.3	148.7	177.2
VMN2R88	14.3	101	33	9.3
VMN2R10	44.9	45.2	20.4	43.7
USP17LA	9.8	10.1	11.9	17.7
KLK1B1	120.7	228.1	28.8	66.4
IGH-VJ558	1934.7	1980.1	212.7	456.5
U62386	834.9	695.1	510.4	207.9
PRKCSH	4253	3677.3	3596.1	4104.3
KRT1	420.6	297.2	172.7	212.2
RPS2	62918	57945.8	55688	56847.7
VMN2R37	26.1	15.1	19.1	78.5
CRYBB2	24.2	19	42.2	14.7
SVS4	18.3	8.6	5.6	5.9
TH	152.4	304	173.6	41.7
SCN3A	7.8	5.9	3.7	10.9
X16301	78	58.4	72.3	42.2
GABRG3	143.4	194.1	161.9	142.4
RPLP1	69740.6	56117.3	67560	65116.5
EDN2	65.3	45.4	57.6	80.1
PDE6A	295.1	387.9	214.8	231.8
PAX3	245.4	253.2	149.5	383.5
PROP1	48.1	14.2	54.5	62.6
NFATC2IP	114.7	77.7	27.7	34.9
NR5A1	256.4	291.5	229.9	442.8
NR5A1	190.9	338.1	354.3	316
SHBG	405.2	380.5	560	666.8
NPY2R	133.4	120.4	69.2	92.3
CMTM4	27.3	20.6	26.3	36.5
LHCGR	15.6	5.7	18.6	16.6
SFMBT2	161.3	367.5	137.4	68.9
SH3RF1	187.8	334.2	279.2	137
H3F3B	16141.1	18191.7	8232.7	8636.9
TPBPA	196.3	46.1	61.6	79.2
VCP	8166.6	10069.4	8532.5	11150.9
RPL10A	30505.6	29242	15383.2	16057.5
NPAS1	360.4	218.1	355.7	332.9
ZFP617	241	320.8	320.1	462.8
NKX3-2	65.9	97.9	55.5	72.8
MSMB	17.8	11.2	9.6	58.3
HAS1	63.8	37.3	318.5	225
U90926	1051.8	1098.3	1147.1	1448.1
PTMA	31670.2	39671.4	18973.8	20326.3
KLK1B16	167.9	177.1	37.7	103.8
PABPC1	33514.1	27966.4	21816.9	20073.9
GM16710	1941	2250.2	305.7	353.3
U10410	567.8	462.9	620.6	357.9
SPRR2E	3653	3973.4	4168.5	3782.2
ZFP28	122.6	217.8	201.3	355
NQO1	40.1	103.5	93.1	33
GRIN2A	127.3	58.4	73.1	202.6
RPL28	46955.2	47197.2	52479.3	43681.6
MPDZ	93.7	113.8	115.5	67.5
GM15772	43757	36399.8	26999.3	25267.7
CD180	161.1	220.1	119.9	102
M11900	18.7	32.6	64.3	105.6
GM14438	43126.8	35867.2	27620.5	27655.5
PSMA2	14625.9	14569.4	10733.1	10752.5
RPL3	35795.7	30559.3	13848.5	12376
KRTAP6-3	23.3	13.8	62	19.7
BARX2	142	65.4	185.1	59.2
ONECUT1	193	226.6	224.2	159.4
SPI15	187.7	96.6	101.9	127.6
SPI16	21.3	23	27.5	30.8
GP5	71.7	75.5	31.2	47.6
FPR3	42.7	43	53	50.2
AA409749	658.3	1021.8	485.3	809
INO80C	534.8	639.7	261.2	352
ZFP518B	27.5	145.6	34	29.9
PSG19	19.9	2.4	8.1	40.8
AA408891	172.6	89.3	223.8	214.9
AA408954	26.8	91.4	43.7	100.6
D10WSU159E	91.1	34.1	61.9	52.5
ZBTB37	259.6	342.5	175.9	247.7
AA414903	276.1	153.3	193.3	150.3
ADAM10	895	899.3	658.9	533.4
RRH	130.1	22.4	28.8	59.5
ATP5A1	41700.9	47353.1	68711.4	68022.3
MECOM	49.9	60.4	37.7	71.1
ELANE	306.1	397.5	373.3	482
TYMS-PS	4399.8	3957.9	4929.8	4584.6
CACNB2	1375.6	1317.1	2339.6	2564.1
RPS28	51321.4	42632	40152.8	38365.2
MRC2	246.2	252.5	612.8	356.8
DSC1	58.5	57.2	166.4	148.6
STRN	31.4	76.8	103.7	145
SEMA6A	128	42.4	68.7	109
D2ERTD127E	129.9	131.9	127.7	27.3
IL2RB	258.1	278.5	305.6	385.3
FNDC7	338.5	113.3	70.1	158.3
EDN3	69.4	60.2	70.5	57.6
100767_AT	21.6	11.6	84.6	121.3
C77307	42.8	64.9	53.7	15.5
AU045946	229.9	257.7	269.5	195.2
BLNK	969.1	753	699.8	477
BLNK	618.8	1044.1	210.7	141.1
IL12A	31.8	47.8	19.3	34.3
SYNJ2BP	551.1	556.5	201.6	433
100775_AT	326.2	506.9	352.1	359.2
ZFP799	106.6	34.1	176.3	14.8
CD38	360.3	285	245.9	285.4
IL12B	117.3	342.6	40.7	54.2
RPS4X	52973.4	56514.1	38049.3	43165.5
MYL4	1527.9	1667.8	1429.5	1366.7
100839_AT	255.6	103.8	215.1	301.4
FEZ1	319	398.1	359.3	484.8
1810058I24RIK	10099.5	7520.1	11741.5	13165.1
STRN3	3690.3	4479.7	5895.7	5708.1
ACTN3	1031	993	224	122.5
GBP7	3250.6	4143.4	1185.7	1387.6
DEFB1	135.4	19.8	29.5	24.8
ARL4D	48.5	122.7	81.4	106.2
AKR1B8	983.3	700.3	1440	1596.2
NEK2	1392.4	1319.1	432.7	309.7
MRPL45	1956.5	1902.6	2856.9	2398.8
SMC6	785.3	798.6	690.3	759
SORL1	138.7	247.1	33.3	114.4
SAMD4B	1178.3	1284.3	2164.9	2203
CHAF1B	693	603	265.1	246.4
SMCP	200.9	180.8	202.2	124.6
NDUFAF1	2771.9	2680.9	3602.8	3496.9
SPTLC2	1272.5	1079.6	635.1	533.3
ORC5	835.4	939.1	633.5	658.2
LSG1	687.8	674.3	324.8	613.6
CACNG1	342.2	398.4	319.8	441.7
ZBTB22	360.6	436.1	344.2	329.4
100898_R_AT	151.9	109.9	72.1	99.4
ZBTB22	1584.5	1504.3	1569.5	1756.5
HCFC1	2855.3	3059.3	1811.4	2327.1
HCFC1	331.1	274.4	152.9	49.7
TDRP	1033.6	1367.6	820.8	614.4
PARP2	2897.6	2574.4	1646.9	1814.7
METTL17	1169.8	1663.1	1855.9	1765.4
HERC4	872.7	969.2	631.7	557.8
ITGB7	3083.4	2471.8	1095	994.9
KCNE1L	49	39.2	42.2	65.5
PTPRA	955.4	1273.7	1006.4	998.6
PRSS8	544.9	716	96.2	558.8
SURF2	1628.1	1123.1	1706.5	1410.9
GPAA1	2481.6	1735.8	2602.7	2762.6
DPH5	646.9	687.9	272.7	456.6
FAM151A	156.6	222.1	194.6	151.4
GM2889	2746.6	3408.9	746.6	460.5
MYH9	11281.5	8585.4	6502.5	6028.1
SLC22A1	585.1	415	931.4	932
WDR55	620	502.1	599.8	567.5
GM15987	255.3	160.2	105.2	13.4
TNNI3	74669	65014.7	109347	109793
MYO10	916.2	899.5	1117.4	1250.4
GATA3	1263.4	2068.9	306	347.9
2700089E24RIK	478.2	458.6	690.9	934.7
2700089E24RIK	9.3	67.4	16.3	17.5
PLTP	3234.3	2925.1	3811.7	3867.9
FBLN2	2899.5	2958.2	6111	4837.3
MTMR9	524.4	530.1	550.7	400.4
ARSA	506.2	578	576.3	588.1
CAPN1	1723.8	1560.2	1457.7	1478
STX1A	80	63.3	221.3	64.6
MLX	1639.7	1560.2	1498.3	1796.9
GHRH	73.8	87.8	193.8	265.9
ZFP282	197.9	194.2	144	35
